EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
UMB BANK NA,CLOUD & AUTOMATION ENGINEER II,"115,918","FRISCO, TX",11/18/2022,11/18/2022
NEXWAVE TALENT MANAGEMENT SOLUTIONS LLC,CLOUD & BIG DATA ARCHITECT,"101,754","NEW YORK, NY",05/17/2022,10/01/2022
DIGIXFORM INC,CLOUD & DEVOPS ENGINEER,"86,819","DULLES, VA",12/13/2022,12/27/2022
NATEN LLC,CLOUD & DEVOPS ENGINEER,"89,565","PLANO, TX",06/05/2022,10/01/2022
NGS INFONET INC,CLOUD & INFOSEC CONSULTANT,"105,000","STERLING, VA",06/09/2022,10/01/2022
POLAKAMS LLC,CLOUD & KUBERNETES DEVELOPER,"105,000","EXTON, PA",06/06/2022,10/01/2022
PROINF LLC,CLOUD & MOBILE APPLICATION DEVELOPER,"95,000","BOLINGBROOK, IL",05/20/2022,05/30/2022
UNIQUE SYSTEM SKILLS LLC,CLOUD ADMIN,"90,000","WOBURN, MA",06/04/2022,10/01/2022
COMPUTACT SYSTEMS INC,CLOUD ADMINISTRATOR,"73,940","SCHAUMBURG, IL",05/20/2022,10/01/2022
COMPUTACT SYSTEMS INC,CLOUD ADMINISTRATOR,"73,940","SCHAUMBURG, IL",05/20/2022,10/01/2022
TEKDELITE LLC,CLOUD ADMINISTRATOR,"72,384","LANSING, MI",05/02/2022,10/01/2022
CYMA SYSTEMS INC,CLOUD ADMINISTRATOR,"80,000","MANCHESTER, CT",05/24/2022,10/01/2022
DISCOVERY ANALYTICS INC,CLOUD ADMINISTRATOR,"88,000","ALPHARETTA, GA",06/03/2022,10/01/2022
COMPUTACT SYSTEMS INC,CLOUD ADMINISTRATOR,"90,813","SCHAUMBURG, IL",06/09/2022,10/01/2022
PROLIFIC TECHNOLOGIES INC,CLOUD ADMINISTRATOR,"91,166","CUMMING, GA",05/30/2022,10/01/2022
PROLIFIC TECHNOLOGIES INC,CLOUD ADMINISTRATOR,"91,166","ALPHARETTA, GA",06/11/2022,10/01/2022
INFORMATION TECHNOLOGY AND MANAGEMENT C,CLOUD ADMINISTRATOR,"101,130","TAMPA, FL",05/27/2022,10/01/2022
LANDUS COOPERATIVE,"CLOUD ADMINISTRATOR, NETWORKS INTERMEDI","73,008","DES MOINES, IA",08/04/2022,09/01/2022
ACCENTURE LLP,CLOUD ADVISORY ASSOCIATE MANAGER,"149,754","NEW YORK, NY",01/25/2022,02/02/2022
ACCENTURE LLP,CLOUD ADVISORY CONSULTANT,"83,800","JERSEY CITY, NJ",01/04/2022,01/06/2022
ACCENTURE LLP,CLOUD ADVISORY CONSULTANT,"83,800","NORTH QUINCY, MA",01/04/2022,01/06/2022
ACCENTURE LLP,CLOUD ADVISORY CONSULTANT,"111,000","MINNEAPOLIS, MN",05/16/2022,10/01/2022
ACCENTURE LLP,CLOUD ADVISORY CONSULTANT,"118,000","ATLANTA, GA",12/19/2022,12/26/2022
ACCENTURE LLP,CLOUD ADVISORY CONSULTANT,"118,000","NASHVILLE, TN",12/19/2022,12/26/2022
CYMA SYSTEMS INC,CLOUD AMDMINISTRATOR,"80,000","MANCHESTER, CT",05/24/2022,10/01/2022
CYMA SYSTEMS INC,CLOUD AMDMINISTRATOR,"84,781","MANCHESTER, CT",05/13/2022,10/01/2022
CYMA SYSTEMS INC,CLOUD AMDMINISTRATOR,"85,000","MANCHESTER, CT",05/24/2022,10/01/2022
DATANORMUS LLC,CLOUD ANALYST,"91,045","RESTON, VA",04/11/2022,04/18/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"95,000","INDIANAPOLIS, IN",05/31/2022,06/08/2022
VIRTUSA CONSULTING SERVICES PVT LTD,CLOUD ANALYST 2,"100,037","COLUMBUS, OH",01/21/2022,01/31/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"104,275","SMITHFIELD, RI",08/09/2022,08/15/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"115,000","NEW YORK, NY",01/12/2022,01/24/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"119,000","NEW YORK, NY",02/01/2022,02/08/2022
VIRTUSA CONSULTING SERVICES PVT LTD,CLOUD ANALYST 2,"120,000","PITTSBURGH, PA",04/18/2022,04/25/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"120,000","PITTSBURGH, PA",04/18/2022,04/25/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"120,000","PLANO, TX",06/09/2022,06/20/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"121,000","BALTIMORE, MD",10/14/2022,10/23/2022
VIRTUSA CONSULTING SERVICES PVT LTD,CLOUD ANALYST 2,"122,236","TAMPA, FL",06/30/2022,07/11/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"135,000","ROYERSFORD, PA",01/11/2022,01/19/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"135,000","ALPHARETTA, GA",01/18/2022,01/25/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"145,000","LEBANON, NJ",09/14/2022,09/26/2022
VIRTUSA CORPORATION,CLOUD ANALYST 2,"155,000","HILLSBOROUGH, NJ",09/19/2022,09/28/2022
VIRTUSA CORPORATION,CLOUD ANALYST 3,"103,126","IRVING, TX",05/26/2022,10/01/2022
VIRTUSA CORPORATION,CLOUD ANALYST 3,"114,483","JERSEY CITY, NJ",05/28/2022,10/01/2022
VIRTUSA CORPORATION,CLOUD ANALYST 3,"117,042","NEW YORK, NY",10/13/2022,10/21/2022
VIRTUSA CORPORATION,CLOUD ANALYST 3,"130,000","COLUMBUS, OH",06/14/2022,06/27/2022
VIRTUSA CORPORATION,CLOUD ANALYST 3,"134,550","COLUMBUS, OH",09/28/2022,10/06/2022
CONOCOPHILLIPS COMPANY,CLOUD ANALYTICS PLATFORM SR. ENGINEER,"135,760","BARTLESVILLE, TX",09/23/2022,01/23/2023
TRANE TECHNOLOGIES COMPANY LLC,CLOUD AND DATA ARCHITECT,"145,579","BLOOMINGTON, MN",01/18/2022,07/17/2022
SPRUCE TECHNOLOGY INC,CLOUD AND DEVOPS ENGINEER,"102,000","NEW YORK, NY",05/20/2022,10/01/2022
NGS INFONET INC,CLOUD AND INFOSEC CONSULTANT,"110,000","STERLING, VA",06/09/2022,10/01/2022
POLAKAMS LLC,CLOUD AND KUBERNETES CONSULTANT,"105,000","EXTON, PA",06/06/2022,10/01/2022
OPTUM SERVICES INC,CLOUD AND MIDDLEWARE TECHNICAL LEAD,"124,883","COLMAR, PA",04/13/2022,10/10/2022
PROINF LLC,CLOUD AND MOBILE APPLICATION DEVELOPER,"95,000","DURHAM, NC",05/19/2022,09/25/2022
PROINF LLC,CLOUD AND MOBILE APPLICATION DEVELOPER,"95,000","DURHAM, NC",06/19/2022,09/25/2022
NAZTEC INTERNATIONAL GROUP LLC,CLOUD AND VIRTUALIZATION SYSTEM ADMINIS,"87,859","NEW YORK, NY",04/19/2022,09/10/2022
NAZTEC INTERNATIONAL GROUP LLC,CLOUD AND VIRTUALIZATION SYSTEM ADMINIS,"87,859","JERSEY CITY, NJ",05/10/2022,09/10/2022
AMERICAN IT MINDS INC,CLOUD API DEVELOPER,"101,754","DAYTON, NJ",06/16/2022,10/01/2022
ADALITEK GROUP LLC,CLOUD APP ARCHITECT,"94,037","RICHARDSON, TX",06/06/2022,06/05/2022
HEALTHEDGE SOFTWARE INC,CLOUD APP ENGINEER,"112,200","INDIANAPOLIS, IN",08/08/2022,08/15/2022
INTERNATIONAL BUSINESS MACHINES CORPORA,CLOUD APPLICATION ARCHITECT,"132,349","DALLAS, TX",11/14/2022,02/04/2023
INTERNATIONAL BUSINESS MACHINES CORPORA,CLOUD APPLICATION ARCHITECT,"132,349","DALLAS, TX",10/26/2022,02/04/2023
INTERNATIONAL BUSINESS MACHINES CORPORA,CLOUD APPLICATION ARCHITECT,"132,349","DALLAS, TX",10/25/2022,02/04/2023
FREEDOM MORTGAGE CORPORATION,CLOUD APPLICATION ARCHITECT,"142,000","HUNTERSVILLE, NC",10/04/2022,10/10/2022
FREEDOM MORTGAGE CORPORATION,CLOUD APPLICATION ARCHITECT,"142,000","HERNDON, VA",01/25/2022,02/14/2022
FREEDOM MORTGAGE CORPORATION,CLOUD APPLICATION ARCHITECT,"170,000","JERSEY CITY, NJ",01/10/2022,02/07/2022
ARCHWELL ESSENTIALS LLC,CLOUD APPLICATION ARCHITECT IT ENTERPRI,"137,000","IRVING, TX",12/15/2022,01/01/2023
ARCHWELL ESSENTIALS LLC,CLOUD APPLICATION ARCHITECT IT ENTERPRI,"142,000","HUNTERSVILLE, NC",12/22/2022,01/01/2023
ARCHWELL ESSENTIALS LLC,CLOUD APPLICATION ARCHITECT IT ENTERPRI,"142,000","HERNDON, VA",12/15/2022,01/01/2023
GOOD ONE IT SOLUTIONS INC,CLOUD APPLICATION DEVELOPER,"80,080","BENTONVILLE, AR",06/20/2022,10/01/2022
IBM CORPORATION,CLOUD APPLICATION DEVELOPER,"85,860","ATLANTA, GA",05/10/2022,05/16/2022
CORPTEQ SOLUTIONS INC,CLOUD APPLICATION DEVELOPER,"87,485","CUMMING, GA",05/16/2022,09/01/2022
ALLPRO CONSULTING LLC,CLOUD APPLICATION DEVELOPER,"92,690","KATY, TX",05/20/2022,05/23/2022
ALLPRO CONSULTING LLC,CLOUD APPLICATION DEVELOPER,"92,690","KATY, TX",05/20/2022,05/23/2022
