EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
LILLI TECHNOLOGY LLC,DATA ENGINEER,"60,000","JACKSONVILLE, FL",05/06/2022,10/01/2022
LILLI TECHNOLOGY LLC,DATA ENGINEER,"60,000","JACKSONVILLE, FL",05/06/2022,10/01/2022
AMERICAN SOFTWARE RESOURCES INC,DATA ENGINEER,"60,000","CINCINNATI, OH",06/15/2022,10/01/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"63,960","LAKE OZARK, MO",04/18/2022,10/01/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"63,960","LAKE OZARK, MO",04/26/2022,10/01/2022
POPULUS GROUP LLC,DATA ENGINEER,"64,000","ORLANDO, FL",04/04/2022,10/01/2022
POPULUS GROUP LLC,DATA ENGINEER,"64,000","ORLANDO, FL",05/26/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"69,200","TEMPLE TERRACE, FL",05/22/2022,10/01/2022
ASTA CRS INC,DATA ENGINEER,"70,000","FREMONT, CA",04/28/2022,10/01/2022
ASTA CRS INC,DATA ENGINEER,"70,000","FREMONT, CA",05/18/2022,10/01/2022
ACLAT INC,DATA ENGINEER,"70,080","NAPERVILLE, IL",05/02/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"71,800","COLUMBUS, OH",06/08/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"73,080","HERSHEY, PA",05/11/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"73,900","IRVING, TX",05/13/2022,10/01/2022
SERVER MANAGEMENT SERVICES LLC,DATA ENGINEER,"73,900","IRVING, TX",06/14/2022,10/01/2022
VASANTAS SOFTWARE INC,DATA ENGINEER,"73,940","IRVING, TX",06/10/2022,10/01/2022
PROGRITE SYSTEMS INC,DATA ENGINEER,"73,940","PLANO, TX",06/18/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"74,000","OXFORD, MS",06/24/2022,06/29/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"74,000","OXFORD, MS",06/22/2022,06/27/2022
EALEARN INC,DATA ENGINEER,"75,540","REDMOND, WA",03/22/2022,03/22/2022
EALEARN INC,DATA ENGINEER,"75,540","REDMOND, WA",03/22/2022,03/22/2022
TEKNXPERT LLC,DATA ENGINEER,"75,540","CHICAGO, IL",05/13/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"75,540","REDMOND, WA",05/13/2022,10/01/2022
GEO LOGIC SYSTEMS CORP,DATA ENGINEER,"76,840","BASKING RIDGE, NJ",06/17/2022,10/01/2022
WINSAI LLC,DATA ENGINEER,"77,240","NASHVILLE, TN",05/26/2022,10/01/2022
KNACK NY INC,DATA ENGINEER,"77,560","LA JOLLA, CA",06/16/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"77,560","PITTSBURGH, PA",05/13/2022,10/01/2022
KNACK NY INC,DATA ENGINEER,"77,560","LA JOLLA, CA",06/16/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"78,100","BEAUMONT, TX",05/11/2022,10/01/2022
BYTE LINK SYSTEMS INC,DATA ENGINEER,"78,360","TAMPA, FL",05/02/2022,05/09/2022
NIRVANA ENTERPRISES LLC,DATA ENGINEER,"80,000","FARMERS BRANCH, TX",01/19/2022,02/01/2022
NIRVANA ENTERPRISES LLC,DATA ENGINEER,"80,000","FARMERS BRANCH, TX",02/01/2022,02/15/2022
NIRVANA ENTERPRISES LLC,DATA ENGINEER,"80,000","FARMERS BRANCH, TX",02/04/2022,02/15/2022
CLOUDSPACE LLC,DATA ENGINEER,"80,000","KANSAS CITY, MO",04/22/2022,10/01/2022
CLOUD SPACE LLC,DATA ENGINEER,"80,000","TAMPA, FL",05/09/2022,10/01/2022
CLOUD SPACE LLC,DATA ENGINEER,"80,000","KANSAS CITY, MO",05/18/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"80,000","OVERLAND PARK, KS",06/14/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"80,860","ST. LOUIS, MO",04/20/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"80,860","ST. LOUIS, MO",04/23/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"80,860","ST. LOUIS, MO",05/13/2022,10/01/2022
RAPS CONSULTING INC,DATA ENGINEER,"81,340","DOVER, NH",05/12/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"81,520","HARTFORD, CT",05/11/2022,10/01/2022
TEK NINJAS SOLUTIONS LLC,DATA ENGINEER,"82,280","COLUMBUS, OH",03/08/2022,03/16/2022
TEKNXPERT LLC,DATA ENGINEER,"82,280","COLUMBUS, OH",04/29/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"82,280","COLUMBUS, OH",05/13/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"82,540","CHARLOTTE, NC",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"82,540","CHARLOTTE, NC",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"82,540","COLUMBUS, OH",04/27/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"82,540","CHARLOTTE, NC",05/13/2022,10/01/2022
